Column labels	Column id
Single Cell Type RNA - Rod photoreceptor cells [nTPM]	sc_RNA_Rod_photoreceptor_cells
Single Cell Type RNA - Salivary duct cells [nTPM]	sc_RNA_Salivary_duct_cells
Single Cell Type RNA - Schwann cells [nTPM]	sc_RNA_Schwann_cells
Single Cell Type RNA - Secretory cells [nTPM]	sc_RNA_Secretory_cells
Single Cell Type RNA - Serous glandular cells [nTPM]	sc_RNA_Serous_glandular_cells
Single Cell Type RNA - Sertoli cells [nTPM]	sc_RNA_Sertoli_cells
Single Cell Type RNA - Skeletal myocytes [nTPM]	sc_RNA_Skeletal_myocytes
Single Cell Type RNA - Smooth muscle cells [nTPM]	sc_RNA_Smooth_muscle_cells
Single Cell Type RNA - Spermatocytes [nTPM]	sc_RNA_Spermatocytes
Single Cell Type RNA - Spermatogonia [nTPM]	sc_RNA_Spermatogonia
Single Cell Type RNA - Squamous epithelial cells [nTPM]	sc_RNA_Squamous_epithelial_cells
Single Cell Type RNA - Suprabasal keratinocytes [nTPM]	sc_RNA_Suprabasal_keratinocytes
Single Cell Type RNA - Syncytiotrophoblasts [nTPM]	sc_RNA_Syncytiotrophoblasts
Single Cell Type RNA - T-cells [nTPM]	sc_RNA_T-cells
Single Cell Type RNA - Undifferentiated cells [nTPM]	sc_RNA_Undifferentiated_cells
Tissue RNA - adipose tissue [nTPM]	t_RNA_adipose_tissue
Tissue RNA - adrenal gland [nTPM]	t_RNA_adrenal_gland
Tissue RNA - amygdala [nTPM]	t_RNA_amygdala
Tissue RNA - appendix [nTPM]	t_RNA_appendix
Tissue RNA - basal ganglia [nTPM]	t_RNA_basal_ganglia
Tissue RNA - bone marrow [nTPM]	t_RNA_bone_marrow
Tissue RNA - breast [nTPM]	t_RNA_breast
Tissue RNA - cerebellum [nTPM]	t_RNA_cerebellum
Tissue RNA - cerebral cortex [nTPM]	t_RNA_cerebral_cortex
Tissue RNA - cervix [nTPM]	t_RNA_cervix
Tissue RNA - choroid plexus [nTPM]	t_RNA_choroid_plexus
Tissue RNA - colon [nTPM]	t_RNA_colon
Tissue RNA - duodenum [nTPM]	t_RNA_duodenum
Tissue RNA - endometrium 1 [nTPM]	t_RNA_endometrium_1
Tissue RNA - epididymis [nTPM]	t_RNA_epididymis
Tissue RNA - esophagus [nTPM]	t_RNA_esophagus
Tissue RNA - fallopian tube [nTPM]	t_RNA_fallopian_tube
Tissue RNA - gallbladder [nTPM]	t_RNA_gallbladder
Tissue RNA - heart muscle [nTPM]	t_RNA_heart_muscle
Tissue RNA - hippocampal formation [nTPM]	t_RNA_hippocampal_formation
Tissue RNA - hypothalamus [nTPM]	t_RNA_hypothalamus
Tissue RNA - kidney [nTPM]	t_RNA_kidney
Tissue RNA - liver [nTPM]	t_RNA_liver
Tissue RNA - lung [nTPM]	t_RNA_lung
Tissue RNA - lymph node [nTPM]	t_RNA_lymph_node
Tissue RNA - midbrain [nTPM]	t_RNA_midbrain
Tissue RNA - ovary [nTPM]	t_RNA_ovary
Tissue RNA - pancreas [nTPM]	t_RNA_pancreas
Tissue RNA - parathyroid gland [nTPM]	t_RNA_parathyroid_gland
Tissue RNA - pituitary gland [nTPM]	t_RNA_pituitary_gland
Tissue RNA - placenta [nTPM]	t_RNA_placenta
Tissue RNA - prostate [nTPM]	t_RNA_prostate
Tissue RNA - rectum [nTPM]	t_RNA_rectum
Tissue RNA - retina [nTPM]	t_RNA_retina
Tissue RNA - salivary gland [nTPM]	t_RNA_salivary_gland
Tissue RNA - seminal vesicle [nTPM]	t_RNA_seminal_vesicle
Tissue RNA - skeletal muscle [nTPM]	t_RNA_skeletal_muscle
Tissue RNA - skin 1 [nTPM]	t_RNA_skin_1
Tissue RNA - small intestine [nTPM]	t_RNA_small_intestine
Tissue RNA - smooth muscle [nTPM]	t_RNA_smooth_muscle
Tissue RNA - spinal cord [nTPM]	t_RNA_spinal_cord
Tissue RNA - spleen [nTPM]	t_RNA_spleen
Tissue RNA - stomach 1 [nTPM]	t_RNA_stomach_1
Tissue RNA - testis [nTPM]	t_RNA_testis
Tissue RNA - thymus [nTPM]	t_RNA_thymus
Tissue RNA - thyroid gland [nTPM]	t_RNA_thyroid_gland
Tissue RNA - tongue [nTPM]	t_RNA_tongue
Tissue RNA - tonsil [nTPM]	t_RNA_tonsil
Tissue RNA - urinary bladder [nTPM]	t_RNA_urinary_bladder
Tissue RNA - vagina [nTPM]	t_RNA_vagina
