,anova,mutual_info,random_forest,l1_logistic,rfe,boruta,correlation,total
2.66_37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
N7_44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
TM2_mid_lig1_NT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
totalCP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.67_27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
colocalization_match_score,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TM4_EC_lig1_mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6.52_47_CP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
t5_embedding_cosine_dist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
mid_lig1_NT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ligContacts_TM2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6.55_44_CP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
depmap_cosine_dist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
depmap_euclidian_dist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
pLDDT_rec,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
depmap_abs_diff,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TM1_mid_lig1_NT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6.56_44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7.46_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.35_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.45_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.44_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.43_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.42_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.39_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.38_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.37_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.36_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.34_47_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.33_46_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.47_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.49_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.48_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.51_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.61_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.60_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.59_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.58_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.57_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.56_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.54_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.53_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.52_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.50_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.49_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.30_23_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.48_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.47_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.56_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.55_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.54_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.53_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.52_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.51_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.50_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.31_39_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.40_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.61_39_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.24_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.33_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.32_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.31_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.30_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.29_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.28_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.27_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.26_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.72_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.60_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.71_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.70_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.69_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.68_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.67_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.66_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.65_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.64_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.63_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.34_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.35_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.36_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.37_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.59_40_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.58_43_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.57_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.54_46_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.53_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.51_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.50_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.49_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.48_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.47_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.46_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.45_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.44_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.43_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.42_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.41_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.49_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.39_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.38_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.48_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.50_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N14_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N13_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N12_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N11_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N10_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N9_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N8_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N6_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N5_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N3_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N16_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N1_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C41_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C40_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C39_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C38_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C37_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C36_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C35_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N15_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N17_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C33_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N29_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N38_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N37_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N36_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N35_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N34_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N33_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N32_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N31_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N30_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N28_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N18_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N27_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N26_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N25_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N24_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N23_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N22_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N21_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N20_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N19_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C34_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C32_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.51_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.56_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.52_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.50_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.57_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.55_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.61_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.54_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.53_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.52_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.51_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.50_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.52_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.51_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.50_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.49_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C30_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C29_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C28_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C26_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C24_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C23_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C22_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C20_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C19_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.62_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.35_35_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.60_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.49_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.58_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.57_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.55_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.54_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.53_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.52_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.51_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.50_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.48_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.60_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.47_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.46_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.45_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.44_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.43_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.42_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.41_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.40_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.39_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.59_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.37_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.37_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.49_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.58_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.57_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.56_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.55_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.54_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.53_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.52_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.51_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.50_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.48_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.38_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.47_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.46_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.45_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.44_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.43_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.42_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.41_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.40_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.39_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.38_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.59_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM3_EC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM2_mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM1_mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM7_IC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM6_IC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM4_IC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM3_IC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM2_IC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM1_IC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM7_EC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM1_EC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM4_mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC_lig1_mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lig1_NorC_position,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lig1_num_residues_from_closest_term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogrid_detect_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co_expression_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crispr_shared_hit_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crispr_jaccard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_num_significant_afm_scores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM3_mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM5_mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.34_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_TM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.33_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.31_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.30_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.29_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_C-term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_TM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_ECL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_ICL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM6_mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_ECL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_TM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_ICL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_TM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_ECL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_ICL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_TM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligContacts_N-term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM7_mid_lig1_CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.59_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.60_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.61_46_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.56_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.33_21_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.64_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.63_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.62_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.61_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.60_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.59_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.58_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.57_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.55_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.36_40_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.54_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
