,missing_count,missing_percent,infinite_count,mean,median,std
2.50_48,0,0.0,0,0.004761904761904762,0.0,0.06892416001716715
2.51_48,0,0.0,0,0.0,0.0,0.0
2.52_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
2.53_48_CP,0,0.0,0,0.16666666666666666,0.0,0.37312245436408226
2.54_48,0,0.0,0,0.004761904761904762,0.0,0.06892416001716715
2.55_48,0,0.0,0,0.007142857142857143,0.0,0.08431347673627856
2.56_48_CP,0,0.0,0,0.06666666666666667,0.0,0.2497413140549704
2.57_48_CP,0,0.0,0,0.26904761904761904,0.0,0.443993643785854
2.58_48,0,0.0,0,0.007142857142857143,0.0,0.08431347673627868
2.59_48_CP,0,0.0,0,0.04285714285714286,0.0,0.20277649986805402
2.60_48_CP,0,0.0,0,0.5952380952380952,1.0,0.4914312937176992
2.61_46_CP,0,0.0,0,0.3404761904761905,0.0,0.47443448250596576
2.62_44,0,0.0,0,0.023809523809523808,0.0,0.1526371581792974
2.63_43_CP,0,0.0,0,0.37857142857142856,0.0,0.48560948308777824
2.64_40_CP,0,0.0,0,0.6142857142857143,1.0,0.4873440897845548
2.65_38,0,0.0,0,0.2571428571428571,0.0,0.43758005453341897
2.66_37,0,0.0,0,0.05714285714285714,0.0,0.23239220525015256
2.67_27,0,0.0,0,0.16666666666666666,0.0,0.37312245436408215
3.21_39_CP,0,0.0,0,0.06190476190476191,0.0,0.24126989111601205
3.22_43,0,0.0,0,0.05952380952380952,0.0,0.236884636846708
3.23_45,0,0.0,0,0.02619047619047619,0.0,0.15989185457576427
3.24_47,0,0.0,0,0.06428571428571428,0.0,0.24555371024774436
3.25_48,0,0.0,0,0.22380952380952382,0.0,0.4172929717270069
3.26_48_CP,0,0.0,0,0.09523809523809523,0.0,0.2938936057973734
3.27_48,0,0.0,0,0.03571428571428571,0.0,0.18579819238047304
3.28_48_CP,0,0.0,0,0.35,0.0,0.47753843764372284
3.29_48_CP,0,0.0,0,0.6833333333333333,1.0,0.46573096327295366
3.30_48_CP,0,0.0,0,0.10238095238095238,0.0,0.30351016877201614
3.31_48,0,0.0,0,0.04285714285714286,0.0,0.20277649986805377
3.32_48_CP,0,0.0,0,0.6666666666666666,1.0,0.4719667207770932
3.33_48_CP,0,0.0,0,0.5476190476190477,1.0,0.4983208536120838
3.34_48_CP,0,0.0,0,0.02619047619047619,0.0,0.15989185457576433
3.35_48,0,0.0,0,0.03333333333333333,0.0,0.17971957294784846
3.36_48_CP,0,0.0,0,0.38095238095238093,0.0,0.48620006059268545
3.37_48_CP,0,0.0,0,0.07380952380952381,0.0,0.2617724820666109
3.38_48,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
3.39_48,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
3.40_48_CP,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
3.41_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
3.42_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
3.43_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
3.44_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
3.45_48,0,0.0,0,0.0,0.0,0.0
3.46_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
3.47_48,0,0.0,0,0.0,0.0,0.0
3.48_48,0,0.0,0,0.0,0.0,0.0
3.49_48,0,0.0,0,0.0,0.0,0.0
3.50_48,0,0.0,0,0.0,0.0,0.0
3.51_48,0,0.0,0,0.0,0.0,0.0
3.52_48,0,0.0,0,0.0,0.0,0.0
3.53_48,0,0.0,0,0.0,0.0,0.0
3.54_48,0,0.0,0,0.0,0.0,0.0
3.55_46,0,0.0,0,0.0,0.0,0.0
3.56_42,0,0.0,0,0.0,0.0,0.0
4.38_42,0,0.0,0,0.0,0.0,0.0
4.39_43,0,0.0,0,0.0,0.0,0.0
4.40_44,0,0.0,0,0.0,0.0,0.0
4.41_48,0,0.0,0,0.0,0.0,0.0
4.42_48,0,0.0,0,0.0,0.0,0.0
4.43_48,0,0.0,0,0.0,0.0,0.0
4.44_48,0,0.0,0,0.0,0.0,0.0
4.45_48,0,0.0,0,0.0,0.0,0.0
4.46_48,0,0.0,0,0.0,0.0,0.0
4.47_48,0,0.0,0,0.0,0.0,0.0
4.48_48,0,0.0,0,0.0,0.0,0.0
4.49_48,0,0.0,0,0.0,0.0,0.0
4.50_48,0,0.0,0,0.0,0.0,0.0
4.51_48,0,0.0,0,0.0,0.0,0.0
4.52_48,0,0.0,0,0.0,0.0,0.0
4.53_48,0,0.0,0,0.0,0.0,0.0
4.54_48,0,0.0,0,0.0,0.0,0.0
4.55_48,0,0.0,0,0.0,0.0,0.0
4.56_48_CP,0,0.0,0,0.009523809523809525,0.0,0.09724001211853753
4.57_48_CP,0,0.0,0,0.08095238095238096,0.0,0.273087268905439
4.58_48_CP,0,0.0,0,0.002380952380952381,0.0,0.04879500364742667
4.59_48_CP,0,0.0,0,0.016666666666666666,0.0,0.12817177217382866
4.60_48_CP,0,0.0,0,0.3952380952380952,0.0,0.48948483997888564
4.61_48_CP,0,0.0,0,0.06190476190476191,0.0,0.24126989111601202
4.62_48,0,0.0,0,0.03571428571428571,0.0,0.18579819238047285
4.63_46,0,0.0,0,0.1,0.0,0.30035778188027407
4.64_37,0,0.0,0,0.5285714285714286,1.0,0.4997783347717887
5.33_21_CP,0,0.0,0,0.047619047619047616,0.0,0.21321283106518912
5.34_23,0,0.0,0,0.04285714285714286,0.0,0.2027764998680539
5.35_35_CP,0,0.0,0,0.580952380952381,1.0,0.4939916299128071
5.36_40_CP,0,0.0,0,0.11904761904761904,0.0,0.3242307549455338
5.37_41_CP,0,0.0,0,0.03333333333333333,0.0,0.1797195729478483
5.38_44,0,0.0,0,0.29523809523809524,0.0,0.4566937218594776
5.39_47_CP,0,0.0,0,0.5190476190476191,1.0,0.5002329267656925
5.40_48_CP,0,0.0,0,0.10476190476190476,0.0,0.30661161594460623
5.41_48,0,0.0,0,0.007142857142857143,0.0,0.08431347673627862
5.42_48,0,0.0,0,0.44285714285714284,0.0,0.49731635755864545
5.43_48_CP,0,0.0,0,0.12142857142857143,0.0,0.327014202202088
5.44_48_CP,0,0.0,0,0.02857142857142857,0.0,0.16679731213202975
5.45_48,0,0.0,0,0.007142857142857143,0.0,0.08431347673627856
5.46_48_CP,0,0.0,0,0.13095238095238096,0.0,0.3377505930724765
5.47_48_CP,0,0.0,0,0.0380952380952381,0.0,0.19165449839571583
5.48_47,0,0.0,0,0.011904761904761904,0.0,0.1085868897539422
5.49_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.50_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.51_48,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
5.52_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
5.53_48,0,0.0,0,0.0,0.0,0.0
5.54_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.55_48,0,0.0,0,0.0,0.0,0.0
5.56_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.57_48,0,0.0,0,0.0,0.0,0.0
5.58_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.59_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.60_48,0,0.0,0,0.0,0.0,0.0
5.61_48,0,0.0,0,0.0,0.0,0.0
5.62_47,0,0.0,0,0.0,0.0,0.0
5.63_46,0,0.0,0,0.0,0.0,0.0
5.64_46,0,0.0,0,0.0,0.0,0.0
5.65_45,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.66_44,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.67_44,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
5.68_40,0,0.0,0,0.0,0.0,0.0
5.69_31,0,0.0,0,0.0,0.0,0.0
5.70_29,0,0.0,0,0.0,0.0,0.0
5.71_28,0,0.0,0,0.0,0.0,0.0
5.72_27,0,0.0,0,0.0,0.0,0.0
6.24_23,0,0.0,0,0.0,0.0,0.0
6.25_27,0,0.0,0,0.0,0.0,0.0
6.26_31,0,0.0,0,0.0,0.0,0.0
6.27_33,0,0.0,0,0.0,0.0,0.0
6.28_36,0,0.0,0,0.0,0.0,0.0
6.29_41,0,0.0,0,0.0,0.0,0.0
6.30_43,0,0.0,0,0.0,0.0,0.0
6.31_45,0,0.0,0,0.0,0.0,0.0
6.32_46,0,0.0,0,0.0,0.0,0.0
6.33_48,0,0.0,0,0.0,0.0,0.0
6.34_48,0,0.0,0,0.0,0.0,0.0
6.35_48,0,0.0,0,0.0,0.0,0.0
6.36_48,0,0.0,0,0.0,0.0,0.0
6.37_48,0,0.0,0,0.0,0.0,0.0
6.38_48,0,0.0,0,0.0,0.0,0.0
6.39_48,0,0.0,0,0.0,0.0,0.0
6.40_48,0,0.0,0,0.0,0.0,0.0
6.41_48,0,0.0,0,0.0,0.0,0.0
6.42_48,0,0.0,0,0.0,0.0,0.0
6.43_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
6.44_48_CP,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
6.45_48,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
6.46_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
6.47_48,0,0.0,0,0.007142857142857143,0.0,0.08431347673627836
6.48_48_CP,0,0.0,0,0.26666666666666666,0.0,0.44274402904901
6.49_48,0,0.0,0,0.011904761904761904,0.0,0.1085868897539422
6.50_48,0,0.0,0,0.02619047619047619,0.0,0.15989185457576435
6.51_48_CP,0,0.0,0,0.7261904761904762,1.0,0.4464441979308499
6.52_47_CP,0,0.0,0,0.23095238095238096,0.0,0.42194463732021814
6.53_47,0,0.0,0,0.04047619047619048,0.0,0.1973082874360377
6.54_46_CP,0,0.0,0,0.36428571428571427,0.0,0.4818032102912794
6.55_44_CP,0,0.0,0,0.6714285714285714,1.0,0.4702539375367731
6.56_44,0,0.0,0,0.1523809523809524,0.0,0.3598183678888726
6.57_43,0,0.0,0,0.09761904761904762,0.0,0.2971528340706623
6.58_43_CP,0,0.0,0,0.7095238095238096,1.0,0.4545235507022373
6.59_40_CP,0,0.0,0,0.33095238095238094,0.0,0.4711171384155704
6.60_39,0,0.0,0,0.06666666666666667,0.0,0.24974131405496997
6.61_39_CP,0,0.0,0,0.30952380952380953,0.0,0.46284866819140047
7.30_23_CP,0,0.0,0,0.04047619047619048,0.0,0.1973082874360377
7.31_39_CP,0,0.0,0,0.4714285714285714,0.0,0.4997783347717884
7.32_45,0,0.0,0,0.7023809523809523,1.0,0.45775632919224446
7.33_46_CP,0,0.0,0,0.11904761904761904,0.0,0.32423075494553405
7.34_47_CP,0,0.0,0,0.07142857142857142,0.0,0.25784651989379825
7.35_48_CP,0,0.0,0,0.830952380952381,1.0,0.3752409537661614
7.36_48,0,0.0,0,0.5238095238095238,1.0,0.5000284115123669
7.37_48_CP,0,0.0,0,0.03571428571428571,0.0,0.18579819238047263
7.38_48_CP,0,0.0,0,0.12380952380952381,0.0,0.3297569248755095
7.39_48_CP,0,0.0,0,0.7857142857142857,1.0,0.4108152605681987
7.40_48,0,0.0,0,0.14285714285714285,0.0,0.35034443137182963
7.41_48_CP,0,0.0,0,0.009523809523809525,0.0,0.0972400121185375
7.42_48_CP,0,0.0,0,0.14285714285714285,0.0,0.35034443137182797
7.43_48,0,0.0,0,0.44285714285714284,0.0,0.49731635755864545
7.44_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
7.45_48,0,0.0,0,0.007142857142857143,0.0,0.08431347673627836
7.46_48,0,0.0,0,0.009523809523809525,0.0,0.09724001211853747
7.47_48,0,0.0,0,0.0,0.0,0.0
7.48_48,0,0.0,0,0.0,0.0,0.0
7.49_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
7.50_48,0,0.0,0,0.0,0.0,0.0
7.51_48,0,0.0,0,0.0,0.0,0.0
7.52_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
7.53_48,0,0.0,0,0.002380952380952381,0.0,0.048795003647426685
7.54_47,0,0.0,0,0.002380952380952381,0.0,0.048795003647426664
7.55_46,0,0.0,0,0.0,0.0,0.0
7.56_45,0,0.0,0,0.0,0.0,0.0
8.47_45,0,0.0,0,0.0,0.0,0.0
8.48_45,0,0.0,0,0.0,0.0,0.0
8.49_45,0,0.0,0,0.0,0.0,0.0
8.50_46,0,0.0,0,0.0,0.0,0.0
8.51_46,0,0.0,0,0.0,0.0,0.0
8.52_46,0,0.0,0,0.0,0.0,0.0
8.53_46,0,0.0,0,0.0,0.0,0.0
8.54_45,0,0.0,0,0.0,0.0,0.0
8.55_46,0,0.0,0,0.0,0.0,0.0
8.56_46,0,0.0,0,0.0,0.0,0.0
8.57_45,0,0.0,0,0.0,0.0,0.0
8.58_41,0,0.0,0,0.0,0.0,0.0
8.59_38,0,0.0,0,0.0,0.0,0.0
8.60_26,0,0.0,0,0.0,0.0,0.0
8.61_22,0,0.0,0,0.0,0.0,0.0
12.48_32,0,0.0,0,0.0,0.0,0.0
12.49_32,0,0.0,0,0.0,0.0,0.0
12.50_32,0,0.0,0,0.0,0.0,0.0
12.51_32,0,0.0,0,0.0,0.0,0.0
23.49_28,0,0.0,0,0.21428571428571427,0.0,0.41081526056819895
23.50_28,0,0.0,0,0.28095238095238095,0.0,0.4500003156923299
23.51_28,0,0.0,0,0.004761904761904762,0.0,0.06892416001716717
23.52_28,0,0.0,0,0.007142857142857143,0.0,0.08431347673627868
34.50_34,0,0.0,0,0.0,0.0,0.0
34.51_34,0,0.0,0,0.0,0.0,0.0
34.52_34,0,0.0,0,0.0,0.0,0.0
34.53_34,0,0.0,0,0.0,0.0,0.0
34.54_33,0,0.0,0,0.0,0.0,0.0
34.55_32,0,0.0,0,0.0,0.0,0.0
34.56_29,0,0.0,0,0.0,0.0,0.0
34.57_26,0,0.0,0,0.0,0.0,0.0
45.50_40,0,0.0,0,0.6904761904761905,1.0,0.46284866819139925
45.51_40,0,0.0,0,0.7595238095238095,1.0,0.4278823493917614
45.52_40,0,0.0,0,0.7547619047619047,1.0,0.4307413717451334
C1_47,0,0.0,0,0.004761904761904762,0.0,0.0689241600171671
C2_46,0,0.0,0,0.0,0.0,0.0
C3_46,0,0.0,0,0.009523809523809525,0.0,0.0972400121185373
C4_46,0,0.0,0,0.0,0.0,0.0
C5_45,0,0.0,0,0.0,0.0,0.0
C6_45,0,0.0,0,0.0,0.0,0.0
C7_44,0,0.0,0,0.0,0.0,0.0
C8_43,0,0.0,0,0.0,0.0,0.0
C9_42,0,0.0,0,0.0,0.0,0.0
C10_41,0,0.0,0,0.0,0.0,0.0
C11_41,0,0.0,0,0.0,0.0,0.0
C12_41,0,0.0,0,0.0,0.0,0.0
C13_40,0,0.0,0,0.0,0.0,0.0
C14_40,0,0.0,0,0.0,0.0,0.0
C15_39,0,0.0,0,0.0,0.0,0.0
C16_39,0,0.0,0,0.0,0.0,0.0
C17_39,0,0.0,0,0.0,0.0,0.0
C18_38,0,0.0,0,0.0,0.0,0.0
C19_37,0,0.0,0,0.0,0.0,0.0
C20_36,0,0.0,0,0.0,0.0,0.0
C21_36,0,0.0,0,0.0,0.0,0.0
C22_35,0,0.0,0,0.0,0.0,0.0
C23_35,0,0.0,0,0.0,0.0,0.0
C24_34,0,0.0,0,0.0,0.0,0.0
C25_33,0,0.0,0,0.0,0.0,0.0
C26_32,0,0.0,0,0.0,0.0,0.0
C27_31,0,0.0,0,0.0,0.0,0.0
C28_31,0,0.0,0,0.0,0.0,0.0
C29_30,0,0.0,0,0.0,0.0,0.0
C30_29,0,0.0,0,0.0,0.0,0.0
C31_29,0,0.0,0,0.0,0.0,0.0
C32_29,0,0.0,0,0.0,0.0,0.0
C33_28,0,0.0,0,0.0,0.0,0.0
C34_27,0,0.0,0,0.0,0.0,0.0
C35_26,0,0.0,0,0.0,0.0,0.0
C36_25,0,0.0,0,0.0,0.0,0.0
C37_24,0,0.0,0,0.0,0.0,0.0
C38_23,0,0.0,0,0.0,0.0,0.0
C39_23,0,0.0,0,0.0,0.0,0.0
C40_22,0,0.0,0,0.0,0.0,0.0
C41_21,0,0.0,0,0.0,0.0,0.0
N1_48,0,0.0,0,0.22857142857142856,0.0,0.42041331764619394
N2_45,0,0.0,0,0.2714285714285714,0.0,0.4452269884655448
N3_45,0,0.0,0,0.3119047619047619,0.0,0.46382367491240734
N4_44,0,0.0,0,0.3476190476190476,0.0,0.47678222126022063
N5_44,0,0.0,0,0.2976190476190476,0.0,0.45775632919224374
N6_44,0,0.0,0,0.35714285714285715,0.0,0.47972886989667635
N7_44,0,0.0,0,0.2833333333333333,0.0,0.4511542696460828
N8_44,0,0.0,0,0.2619047619047619,0.0,0.44019543335622546
N9_44,0,0.0,0,0.26666666666666666,0.0,0.4427440290490095
N10_43,0,0.0,0,0.25476190476190474,0.0,0.436246947293177
N11_42,0,0.0,0,0.20476190476190476,0.0,0.40400877903005555
N12_42,0,0.0,0,0.20238095238095238,0.0,0.4022538502217016
N13_41,0,0.0,0,0.17857142857142858,0.0,0.3834498061489446
N14_41,0,0.0,0,0.14047619047619048,0.0,0.34789481018610363
N15_40,0,0.0,0,0.1261904761904762,0.0,0.3324599308743886
N16_40,0,0.0,0,0.14761904761904762,0.0,0.3551449972720956
N17_40,0,0.0,0,0.08571428571428572,0.0,0.2802755450974614
N18_39,0,0.0,0,0.09761904761904762,0.0,0.29715283407066173
N19_38,0,0.0,0,0.05952380952380952,0.0,0.2368846368467076
N20_38,0,0.0,0,0.05476190476190476,0.0,0.22778625511700404
N21_37,0,0.0,0,0.07142857142857142,0.0,0.25784651989379875
N22_36,0,0.0,0,0.05952380952380952,0.0,0.23688463684670757
N23_36,0,0.0,0,0.08095238095238096,0.0,0.2730872689054388
N24_35,0,0.0,0,0.06666666666666667,0.0,0.24974131405497046
N25_34,0,0.0,0,0.08095238095238096,0.0,0.2730872689054388
N26_32,0,0.0,0,0.09523809523809523,0.0,0.29389360579737583
N27_31,0,0.0,0,0.08333333333333333,0.0,0.27671501815563065
N28_31,0,0.0,0,0.04523809523809524,0.0,0.20807376715651033
N29_30,0,0.0,0,0.04285714285714286,0.0,0.20277649986805393
N30_28,0,0.0,0,0.05238095238095238,0.0,0.2230597544417112
N31_27,0,0.0,0,0.04523809523809524,0.0,0.20807376715651024
N32_26,0,0.0,0,0.023809523809523808,0.0,0.15263715817929735
N33_26,0,0.0,0,0.0380952380952381,0.0,0.1916544983957163
N34_25,0,0.0,0,0.0380952380952381,0.0,0.1916544983957163
N35_24,0,0.0,0,0.04285714285714286,0.0,0.20277649986805385
N36_24,0,0.0,0,0.03333333333333333,0.0,0.17971957294784843
N37_23,0,0.0,0,0.04523809523809524,0.0,0.20807376715651024
N38_22,0,0.0,0,0.023809523809523808,0.0,0.1526371581792974
N39_21,0,0.0,0,0.03571428571428571,0.0,0.18579819238047274
